depth,temperature,salinity,latitude,longitude
0.0,27.90827624400372,34.99646563306001,15.4,71.2
40.816326530612244,27.25728524297124,35.04616917554624,15.4,71.2
81.63265306122449,27.05980862734019,34.96579794252405,15.4,71.2
122.44897959183673,26.586577886335874,34.960196170820005,15.4,71.2
163.26530612244898,27.34455647588217,35.084039173607486,15.4,71.2
204.0816326530612,25.66737200579934,35.081238576227186,15.4,71.2
244.89795918367346,25.153363838952288,35.11688926564712,15.4,71.2
285.7142857142857,25.326380668184832,35.23437900709773,15.4,71.2
326.53061224489795,25.00646123441233,35.278900834104434,15.4,71.2
367.3469387755102,24.45268622207047,35.39338959913472,15.4,71.2
408.1632653061224,24.169337973698546,35.15606622345594,15.4,71.2
448.9795918367347,23.34251867791328,35.06658702722502,15.4,71.2
489.7959183673469,23.341751310800962,35.173542089299566,15.4,71.2
530.6122448979592,21.88177188814437,35.278719727122336,15.4,71.2
571.4285714285714,23.205893065886464,35.27019780145489,15.4,71.2
612.2448979591836,21.815060966023374,35.2735363390698,15.4,71.2
653.0612244897959,21.145489461171206,35.33987759185882,15.4,71.2
693.8775510204082,20.94453637586316,35.608467047692365,15.4,71.2
734.6938775510204,20.963804870888712,35.20560029269558,15.4,71.2
775.5102040816327,19.402668557799437,35.3253918871868,15.4,71.2
816.3265306122448,20.447388620659623,35.30213433587528,15.4,71.2
857.1428571428571,19.297674967024424,35.33246413484175,15.4,71.2
897.9591836734694,18.957283569110263,35.41294467999215,15.4,71.2
938.7755102040816,19.042507660138728,35.5539394949025,15.4,71.2
979.5918367346939,17.849046250491337,35.51571290214945,15.4,71.2
1020.4081632653061,17.50144736662652,35.58837852567962,15.4,71.2
1061.2244897959183,17.2241453146193,35.458416926728354,15.4,71.2
1102.0408163265306,16.95365340794923,35.37815573902806,15.4,71.2
1142.857142857143,15.883444051833823,35.56200475226253,15.4,71.2
1183.6734693877552,15.97624451102049,35.66403711972786,15.4,71.2
1224.4897959183672,16.254097544577508,35.502351592074035,15.4,71.2
1265.3061224489795,15.932684366628271,35.592316790752896,15.4,71.2
1306.1224489795918,14.047686331770397,35.6409179178386,15.4,71.2
1346.938775510204,14.468581286433237,35.66634322922298,15.4,71.2
1387.7551020408164,14.029433280713098,35.567685014182814,15.4,71.2
1428.5714285714284,12.999099251369092,35.619257776247494,15.4,71.2
1469.3877551020407,13.409571218455756,35.811142326221265,15.4,71.2
1510.204081632653,12.518061884289107,35.72221692267898,15.4,71.2
1551.0204081632653,12.566303120893236,35.90376018770747,15.4,71.2
1591.8367346938776,12.560597468637022,35.720292745951156,15.4,71.2
1632.6530612244896,12.404041815907934,36.08432152798897,15.4,71.2
1673.469387755102,11.445243074403647,35.80241476198443,15.4,71.2
1714.2857142857142,11.424049335250386,35.90188894852022,15.4,71.2
1755.1020408163265,11.050801660098717,35.86977060599659,15.4,71.2
1795.9183673469388,11.12515168872833,35.89553357904635,15.4,71.2
1836.734693877551,9.070383140565227,35.886947880996104,15.4,71.2
1877.5510204081631,9.542028604816101,35.897964397737276,15.4,71.2
1918.3673469387754,8.1222667596933,35.967180766190765,15.4,71.2
1959.1836734693877,8.374276965569099,36.120793757180465,15.4,71.2
2000.0,8.741856531718664,35.873112793375824,15.4,71.2
